mean,iTitleList,priceList,cNum,median,links,itemCount,cTitle
19.9,"[['crash', 'nitro', 'kart', 'postikulun']]",[19.9],0,19.9,['https://www.huuto.net/kohteet/ps2--crash-nitro-kart--sis-postikulun-/525749257'],1,"['crash', 'nitro', 'kart', 'postikulun']"
8.275,"[['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game'], ['lego', 'batman', 'video', 'game']]","[10.   10.    7.9  10.   10.    4.95 10.   10.    7.75 10.   10.   10.
  8.    6.8  10.    3.8   2.5  10.    3.8  10.  ]",1,10.0,"['https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/519871126', 'https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/520614020', 'https://www.huuto.net/kohteet/uusi--lego-batman---ps2/521346087', 'https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/524195346', 'https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/524267462', 'https://www.huuto.net/kohteet/lego-batman-the-video-game-ps2--40/525327403', 'https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/525210617', 'https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/523121901', 'https://www.huuto.net/kohteet/lego-batman-the-video-game-ps2--40/524416943', 'https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/522269894', 'https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/520888537', 'https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/523818034', 'https://www.huuto.net/kohteet/lego-batman-the-video-game-ps2/525773243', 'https://www.huuto.net/kohteet/lego-batman-the-video-game-ps2/525773263', 'https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/524733751', 'https://www.huuto.net/kohteet/lego-batman-the-video-game-ps2/525722297', 'https://www.huuto.net/kohteet/lego-batman/525588915', 'https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/524568809', 'https://www.huuto.net/kohteet/lego-batman-the-video-game-ps2/526119996', 'https://www.huuto.net/kohteet/lego-batman---the-video-game-ps2/521796913']",20,"['lego', 'batman', 'video', 'game']"
2.7227272727272727,"[['fight', 'night', 'round', '3'], ['fight', 'night', 'round', '3'], ['fight', 'night', 'round', '3'], ['fight', 'night', 'round', '3'], ['fight', 'night', 'round', '3'], ['fight', 'night', 'round', '3'], ['fight', 'night', 'round', '3', 'muoveissa'], ['fight', 'night', 'round', '3'], ['ps', '2', 'fight', 'night', 'round', '3', 'pal'], ['fight', 'night', 'round', '3'], ['fight', 'night', 'round', '3']]",[3.   3.   3.   4.45 2.95 1.75 3.5  1.   3.   1.5  2.8 ],2,3.0,"['https://www.huuto.net/kohteet/fight-night-round-3-ps2/520204209', 'https://www.huuto.net/kohteet/fight-night-round-3-ps2/523728567', 'https://www.huuto.net/kohteet/fight-night-round-3-ps2/524224483', 'https://www.huuto.net/kohteet/fight-night-round-3-ps2/525019016', 'https://www.huuto.net/kohteet/fight-night-round-3-ps2-ale--40/522142060', 'https://www.huuto.net/kohteet/fight-night-round-3-ps2-ale--40/521378355', 'https://www.huuto.net/kohteet/fight-night---round-3-uusi-muoveissa--ps2/525690685', 'https://www.huuto.net/kohteet/fight-night-round-3/526260511', 'https://www.huuto.net/kohteet/ps-2-fight-night-round-3-cib-pal-ei-hv/526256858', 'https://www.huuto.net/kohteet/fight-night-round-3---ps2/526353456', 'https://www.huuto.net/kohteet/fight-night-round-3---ps2/526353345']",11,"['fight', 'night', 'round', '3', 'muoveissa', 'ps', '2', 'pal']"
4.792,"[['star', 'wars', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith'], ['star', 'wars', 'episode', 'iii', 'revenge', 'sith']]","[8.5  5.   4.   5.   5.   5.   5.   5.   4.15 5.   5.   5.   5.   5.
 3.6  5.   2.8  5.   5.   5.   5.8  5.   5.   2.15 3.8 ]",3,5.0,"['https://www.huuto.net/kohteet/star-wars-revenge-of-the-sith/519861949', 'https://www.huuto.net/kohteet/ps2-star-wars-episode-iii--revenge-of-the-sith/523578245', 'https://www.huuto.net/kohteet/ps2-peli-star-wars-episode-iii-revenge-of-the-sith/524982914', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/524292503', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/520123716', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/524142123', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/522585889', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/522344262', 'https://www.huuto.net/kohteet/star-wars-episode-iii-revenge-of-the-sith-ps2--40/524577215', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/524829176', 'https://www.huuto.net/kohteet/ps2-star-wars-episode-iii--revenge-of-the-sith/525237348', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/521823083', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/521419025', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/525428675', 'https://www.huuto.net/kohteet/ps2-sis-ohjeet-star-wars-episode-iii-revenge-of-the-sith/523961110', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/523197038', 'https://www.huuto.net/kohteet/star-wars-episode-iii--revenge-of-the-sith-ps2/525764451', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/523969511', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/525213343', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/525923291', 'https://www.huuto.net/kohteet/star-wars-episode-iii-revenge-of-the-sith-ps2/525622295', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/520846193', 'https://www.huuto.net/kohteet/star-wars---episode-iii---revenge-of-the-sith-ps2/526304153', 'https://www.huuto.net/kohteet/star-wars-episode-iii-revenge-of-the-sith-ps2-ale--40/523743760', 'https://www.huuto.net/kohteet/star-wars-episode-iii--revenge-of-the-sith-ps2/526157642']",25,"['star', 'wars', 'revenge', 'sith', 'episode', 'iii']"
5.404,"[['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon', 'platinum', '8', '10'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['need', 'speed', 'carbon'], ['ps', '2', 'need', 'speed', 'carbon', 'pal'], ['need', 'speed', 'carbon']]","[8.   8.   8.   3.   8.   8.   4.   8.   8.   5.   2.   8.   2.8  6.8
 1.8  1.8  2.   8.   3.95 8.   3.5  4.45 3.   3.   8.  ]",4,5.0,"['https://www.huuto.net/kohteet/need-for-speed---carbon-ps2-suomijulkaisu/521294071', 'https://www.huuto.net/kohteet/need-for-speed---carbon-ps2-suomijulkaisu/524286003', 'https://www.huuto.net/kohteet/need-for-speed---carbon-ps2-suomijulkaisu/523964506', 'https://www.huuto.net/kohteet/ps2-sis-ohjeet-need-for-speed-carbon/523961065', 'https://www.huuto.net/kohteet/need-for-speed---carbon-ps2-suomijulkaisu/524378404', 'https://www.huuto.net/kohteet/need-for-speed---carbon-ps2-suomijulkaisu/522578803', 'https://www.huuto.net/kohteet/ps2-need-for-speed-carbon-cib/525072752', 'https://www.huuto.net/kohteet/need-for-speed---carbon-ps2-suomijulkaisu/524755323', 'https://www.huuto.net/kohteet/need-for-speed---carbon-ps2-suomijulkaisu/523616762', 'https://www.huuto.net/kohteet/need-for-speed-carbon-ps2/525390027', 'https://www.huuto.net/kohteet/need-for-speed-carbon-platinum-cib-8_10/525514942', 'https://www.huuto.net/kohteet/need-for-speed---carbon-ps2-suomijulkaisu/525524383', 'https://www.huuto.net/kohteet/need-for-speed-carbon-ps2/525621826', 'https://www.huuto.net/kohteet/need-for-speed-carbon-ps2/526081730', 'https://www.huuto.net/kohteet/need-for-speed-carbon-ps2/526081678', 'https://www.huuto.net/kohteet/need-for-speed-carbon-ps2/526081760', 'https://www.huuto.net/kohteet/need-for-speed-carbon/525734863', 'https://www.huuto.net/kohteet/need-for-speed---carbon-ps2-suomijulkaisu/522701970', 'https://www.huuto.net/kohteet/need-for-speed-carbon-ps2--40/524416980', 'https://www.huuto.net/kohteet/need-for-speed---carbon-ps2-suomijulkaisu/525691144', 'https://www.huuto.net/kohteet/ps2-need-for-speed-carbon-cib/525823239', 'https://www.huuto.net/kohteet/need-for-speed-carbon-ps2--40/525327394', 'https://www.huuto.net/kohteet/need-for-speed-carbon--ps2-peli/521031219', 'https://www.huuto.net/kohteet/ps-2-need-for-speed-carbon-cib-pal-ei-hv/526335752', 'https://www.huuto.net/kohteet/need-for-speed---carbon-ps2-peli-suomijulkaisu/526329388']",25,"['need', 'speed', 'carbon', 'platinum', '8', '10', 'ps', '2', 'pal']"
8.27,"[['soulcalibur', '2'], ['pes', '2'], ['warriors', 'orochi', '2'], ['castle', 'shikigami', '2'], ['time', 'crisis', '2'], ['vegas', 'casino', '2'], ['ice', 'age', '2'], ['midnight', 'club', '2'], ['metropolismania', '2'], ['warriors', 'orochi', '2']]",[10.   3.  15.   5.   9.9 10.   4.8  5.   5.  15. ],5,7.45,"['https://www.huuto.net/kohteet/soulcalibur-2-ps2/521200974', 'https://www.huuto.net/kohteet/pes-2-ps2/523576569', 'https://www.huuto.net/kohteet/warriors---orochi-2-ps2/524266666', 'https://www.huuto.net/kohteet/castle-shikigami-2--ps2/522916953', 'https://www.huuto.net/kohteet/time-crisis-2---ps2/525614916', 'https://www.huuto.net/kohteet/vegas-casino-2-ps2/526247647', 'https://www.huuto.net/kohteet/ice-age-2-ps2/525764296', 'https://www.huuto.net/kohteet/midnight-club-2-ps2/526244730', 'https://www.huuto.net/kohteet/ps2-metropolismania-2-uudenveroinen/522626893', 'https://www.huuto.net/kohteet/warriors---orochi-2-ps2/523867127']",10,"['soulcalibur', '2', 'pes', 'warriors', 'orochi', 'castle', 'shikigami', 'time', 'crisis', 'vegas', 'casino', 'ice', 'age', 'midnight', 'club', 'metropolismania']"
2.720952380952381,"[['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell'], ['tom', 'clancy', 's', 'splinter', 'cell', 'platinum']]","[ 2.35  2.35  2.7   2.7   2.7   1.95  2.15  1.75  1.75  2.34  1.75  1.75
  7.    1.95 10.    1.95  1.75  1.75  1.75  1.75  3.  ]",6,1.95,"['https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/521058159', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/521058579', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/521607022', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/522142083', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/521612029', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/523743792', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/523743618', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/524577386', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/525327376', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/525327250', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/525327604', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/525327480', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell--ps2/525511891', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/523743530', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell--ps2/525558038', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/523743750', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/525327134', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/521058965', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/521058852', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-ps2-ale--40/521058545', 'https://www.huuto.net/kohteet/tom-clancys-splinter-cell-platinum-ps2-peli/526367311']",21,"['tom', 'clancy', 's', 'splinter', 'cell', 'platinum']"
7.0,"[['dragon', 'ball', 'z', 'budokai', '3'], ['dragon', 'ball', 'z', 'budokai', '3'], ['dragon', 'ball', 'z', 'budokai', '3'], ['ps', '2', 'dragon', 'ball', 'z', 'budokai', '3', 'b', 'pal'], ['dragon', 'ball', 'z', 'budokai', '3'], ['dragon', 'ball', 'z', 'budokai', '3']]",[8. 8. 9. 3. 6. 8.],7,8.0,"['https://www.huuto.net/kohteet/dragon-ball-z---budokai-3-ps2/520180089', 'https://www.huuto.net/kohteet/dragon-ball-z---budokai-3-ps2/523634149', 'https://www.huuto.net/kohteet/ps2---dragon-ball-z-budokai-3/526228773', 'https://www.huuto.net/kohteet/ps-2-dragon-ball-z-budokai-3-b-pal/525786201', 'https://www.huuto.net/kohteet/ps2-peli-dragon-ball-z-budokai-3/524933121', 'https://www.huuto.net/kohteet/dragon-ball-z---budokai-3-ps2/525864868']",6,"['dragon', 'ball', 'z', 'budokai', '3', 'ps', '2', 'b', 'pal']"
8.347222222222221,"[['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari'], ['harry', 'potter', 'ja', 'liekehtivä', 'pikari']]","[10.   10.   10.   10.   10.   10.   10.    6.95  6.   10.    2.5   5.8
 10.   10.   10.    7.    4.    8.  ]",8,10.0,"['https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2/523569852', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2/523720300', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2-puhumme-suomea/524683220', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2/524451931', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2-puhumme-suomea/525020527', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2-puhumme-suomea/525427228', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2-puhumme-suomea/524228824', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2/522135077', 'https://www.huuto.net/kohteet/ps2-harry-potter-ja-liekehtiva-pikari/525995103', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2-puhumme-suomea/525769153', 'https://www.huuto.net/kohteet/ps2-harry-potter-ja-liekehtiva-pikari/526103093', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2-suomi/525773163', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2/524093298', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2/522479864', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2/525525060', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari/525063443', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari/525767195', 'https://www.huuto.net/kohteet/harry-potter-ja-liekehtiva-pikari-ps2-suomi/525773201']",18,"['harry', 'potter', 'ja', 'liekehtivä', 'pikari']"
4.846153846153846,"[['prince', 'persia', 'sands', 'time', 'platinum'], ['prince', 'persia', 'sands', 'time'], ['prince', 'persia', 'playstation', '2', 'hyvä'], ['prince', 'persia', 'sands', 'time'], ['prince', 'persia', 'sands', 'time'], ['prince', 'persia', 'sands', 'time'], ['prince', 'persia', 'sands', 'time', 'platinum', '10706'], ['prince', 'persia', 'sands', 'time'], ['prince', 'persia', 'sands', 'time'], ['prince', 'persia', 'sands', 'time'], ['prince', 'persia', 'sands', 'time'], ['prince', 'persia', 'sands', 'time'], ['prince', 'persia', 'sands', 'time']]",[ 4.5  3.5 10.   1.2  4.8  5.   4.   5.2  2.   5.8 10.   2.   5. ],9,4.8,"['https://www.huuto.net/kohteet/ps2-prince-of-persia---the-sands-of-time-platinumuudenv/522681663', 'https://www.huuto.net/kohteet/ps2-sis-ohjeet-prince-of-persia-the-sands-of-time/523961086', 'https://www.huuto.net/kohteet/prince-of-persia---playstation-2--hyva-kunto-/522715618', 'https://www.huuto.net/kohteet/prince-of-persia-the-sands-of-time-ps2-ale--40/524577295', 'https://www.huuto.net/kohteet/prince-of-persia-the-sands-of-time-ps2/525729577', 'https://www.huuto.net/kohteet/ps2-prince-of-persia---the-sands-of-time-cib/525364598', 'https://www.huuto.net/kohteet/prince-of-persia-the-sands-of-time-platinum----ps2--10706/526116785', 'https://www.huuto.net/kohteet/prince-of-persia-the-sands-of-time-ps2-cib/525714573', 'https://www.huuto.net/kohteet/ps2-prince-of-persia-the-sands-of-time/521293263', 'https://www.huuto.net/kohteet/prince-of-persia-the-sands-of-time-ps2/526067336', 'https://www.huuto.net/kohteet/ps2-prince-of-persia-sands-of-time/521897878', 'https://www.huuto.net/kohteet/ps2-prince-of-persia-the-sands-of-time/520803884', 'https://www.huuto.net/kohteet/ps2-prince-of-persia---the-sands-of-time/522684242']",13,"['prince', 'persia', 'sands', 'time', 'platinum', 'playstation', '2', 'hyvä', '10706']"
